,Class_ID,PL_TOTAL,OPT_PREMIUM,COMMISSION,CLEARING_FEE,EXCHANG_EFE,BROKERAGE_FEE,GIVEUP_FEE,FLR_FEE,WIR_FEE,Total_Fees,MOTE_PREV,MSOV_PREV,MLOV_PREV,MLQVAL_PREV,MOTE,MSOV,MLOV,MLQVAL,UNREALISED,TRD_RESULT_CALCULATION,Prev_Bal,Bal,TRD_RESULT,Final
0,ARB00020_USD,-4108.500000000002,0.0,-1519.8,0.0,-1981.48,0.0,0.0,0.0,0.0,-3501.2799999999997,-20493.48,0.0,0.0,-101800.44,18681.12,0.0,0.0,-70235.62,39174.6,35066.1,-101800.44,-70235.62,31564.820000000007,3501.28
1,ARB00054_USD,0.0,16827.5,-4223.25,0.0,-10135.800000000001,0.0,0.0,0.0,0.0,-14359.050000000001,0.0,-137407.5,129382.5,23696.64,0.0,-207975.0,193937.5,20152.59,-6012.5,10815.0,23696.64,20152.59,-3544.0499999999993,14359.05
2,ARB00055_USD,-5617.5,937.5,-126.0,0.0,-159.9,0.0,0.0,0.0,0.0,-285.9,-8929.0,-110000.0,120000.0,-1352.15,-491.35,-54062.5,54375.0,-7567.9,-1249.8500000000058,-5929.850000000006,-1352.15,-7567.9,-6215.75,285.9
3,ARB00068_USD,-106085.0,-31647.5,-2046.75,0.0,-4835.52,0.0,0.0,0.0,0.0,-6882.27,-105715.0,-60080.0,68015.0,-56884.9,7600.0,0.0,250.0,-95869.67,105630.0,-32102.5,-56884.9,-95869.67,-38984.77,6882.27
4,ARB00090_USD,-7843.5,0.0,-408.0,0.0,-865.66,0.0,0.0,0.0,0.0,-1273.6599999999999,-4653.0,0.0,11675.0,-3286.46,0.0,0.0,5225.0,-14200.62,-1797.0,-9640.5,-3286.46,-14200.62,-10914.16,1273.66
5,ARB00110_USD,-6615.0,0.0,-265.8,0.0,-929.52,0.0,0.0,0.0,0.0,-1195.32,300.0,0.0,0.0,1911.62,7082.5,0.0,0.0,883.8,6782.5,167.5,1911.62,883.8,-1027.82,1195.32
6,ARB00112_USD,11995.0,0.0,-352.5,0.0,-446.28000000000003,0.0,0.0,0.0,0.0,-798.78,0.0,0.0,0.0,-25216.09,-9412.5,0.0,0.0,-23432.37,-9412.5,2582.5,-25216.09,-23432.37,1783.7200000000012,798.78
7,ARB00113_USD,-1520.93,1542.5,-232.65,0.0,-558.36,0.0,0.0,0.0,0.0,-791.01,0.0,-87.5,150.0,6340.84,0.0,-12.5,81.25,5577.65,6.25,27.819999999999936,6340.84,5577.65,-763.1900000000005,791.01
8,ARB00122_USD,-9567.5,0.0,-53.550000000000004,0.0,-54.22,0.0,0.0,0.0,0.0,-107.77000000000001,63.0,0.0,0.0,319.4,0.0,0.0,0.0,-9418.87,-63.0,-9630.5,319.4,-9418.87,-9738.27,107.77
9,ARB00123_USD,-60912.5,-124505.0,-98.1,0.0,-267.03000000000003,0.0,0.0,0.0,0.0,-365.13,-155377.5,-62550.0,130339.0,67161.61,-109655.0,-103425.0,240669.0,-3443.52,115177.5,-70240.0,67161.61,-3443.52,-70605.13,365.13
10,ARB00124_USD,2915.5,0.0,-192.45,0.0,-713.0699999999999,0.0,0.0,0.0,0.0,-905.52,-16379.0,0.0,0.0,30075.59,-35456.5,0.0,0.0,13008.07,-19077.5,-16162.0,30075.59,13008.07,-17067.52,905.52
11,ARB00126_USD,1772.5,0.0,-13.35,0.0,-48.76,0.0,0.0,0.0,0.0,-62.11,-4080.0,0.0,0.0,-1059.2,-4426.0,0.0,0.0,305.19,-346.0,1426.5,-1059.2,305.19,1364.39,62.11
12,ARB00132_USD,-33517.5,17160.0,-1245.15,0.0,-3015.28,0.0,0.0,0.0,0.0,-4260.43,-27380.0,0.0,0.0,12325.44,-1670.0,0.0,0.0,17417.51,25710.0,9352.5,12325.44,17417.51,5092.069999999998,4260.43
13,ARB00135_USD,-1032.5,0.0,-33.0,0.0,-112.2,0.0,0.0,0.0,0.0,-145.2,0.0,0.0,0.0,0.0,-4550.0,0.0,0.0,-5727.7,-4550.0,-5582.5,0.0,-5727.7,-5727.7,145.2
14,ARB00143_USD,1410.0,0.0,-74.55,0.0,-280.28,0.0,0.0,0.0,0.0,-354.83,-1795.0,0.0,0.0,284.41,-186.0,0.0,0.0,2948.58,1609.0,3019.0,284.41,2948.58,2664.17,354.83
15,ARB00146_USD,-5510.0,0.0,-38.1,0.0,-129.54000000000002,0.0,0.0,0.0,0.0,-167.64000000000001,-9540.0,0.0,0.0,7656.9,-11910.0,0.0,0.0,-390.74,-2370.0,-7880.0,7656.9,-390.74,-8047.639999999999,167.64
16,ARB00149_USD,10878.5,0.0,-142.5,0.0,-685.76,0.0,0.0,0.0,0.0,-828.26,-11615.4,0.0,0.0,10923.71,-26366.4,0.0,0.0,6222.95,-14751.000000000002,-3872.500000000002,10923.71,6222.95,-4700.759999999999,828.26
17,ARB00156_USD,28348.9,73988.75,-5238.6,0.0,-13652.74,0.0,0.0,0.0,0.0,-18891.34,-898.4,-217625.0,223062.5,106004.35,-12227.8,-131250.0,135000.0,176433.76,-13016.899999999994,89320.75,106004.35,176433.76,70429.41,18891.34
18,ARB00160_USD,5.5,0.0,-180.29999999999998,0.0,-746.64,0.0,0.0,0.0,0.0,-926.9399999999999,-273.0,0.0,0.0,10689.45,-2184.0,0.0,0.0,7857.01,-1911.0,-1905.5,10689.45,7857.01,-2832.4400000000005,926.94
19,ARB00161_USD,-14590.75,0.0,-717.45,0.0,-1865.72,0.0,0.0,0.0,0.0,-2583.17,-2768.0,0.0,0.0,-6059.3,-950.0,0.0,0.0,-21415.22,1818.0,-12772.75,-6059.3,-21415.22,-15355.920000000002,2583.17
20,ARB00169_USD,67173.02,0.0,-2500.05,0.0,-12111.64,0.0,0.0,0.0,0.0,-14611.689999999999,36737.5,0.0,0.0,-2157.3,-11531.0,0.0,0.0,2135.53,-48268.5,18904.520000000004,-2157.3,2135.53,4292.83,14611.69
21,ARB00186_USD,21360.0,0.0,-357.6,0.0,-1514.22,0.0,0.0,0.0,0.0,-1871.8200000000002,1610.0,0.0,0.0,-13208.31,-19835.6,0.0,0.0,-15165.73,-21445.6,-85.59999999999854,-13208.31,-15165.73,-1957.42,1871.82
22,ARB00188_USD,-7904.5,0.0,-37.35,0.0,-123.86000000000001,0.0,0.0,0.0,0.0,-161.21,-4730.0,0.0,0.0,514.73,0.0,0.0,0.0,-2820.98,4730.0,-3174.5,514.73,-2820.98,-3335.71,161.21
23,ARB00193_USD,-222.5,3950.0,-1731.15,0.0,-6031.76,0.0,0.0,0.0,0.0,-7762.91,103105.5,0.0,3600.0,-81106.83,93854.0,0.0,0.0,-97993.74,-12851.5,-9124.0,-81106.83,-97993.74,-16886.910000000003,7762.91
