,Class_ID,PL_TOTAL,OPT_PREMIUM,COMMISSION,CLEARING_FEE,EXCHANG_EFE,BROKERAGE_FEE,GIVEUP_FEE,FLR_FEE,WIR_FEE,Total_Fees,MOTE_PREV,MSOV_PREV,MLOV_PREV,MLQVAL_PREV,MOTE,MSOV,MLOV,MLQVAL,UNREALISED,TRD_RESULT_DIFF,Prev_Bal,Bal,TRD_RESULT,Final
0,ARB00005_USD,0.0,0.0,216235.59999999998,0.0,59586.17,0.0,0.0,0.0,0.0,275821.76999999996,0.0,0.0,0.0,15915048.04,0.0,0.0,0.0,15806315.05,0.0,275821.76999999996,15915048.04,15806315.05,-108732.98999999836,384554.7599999983
1,ARB00005_USD,0.0,0.0,216235.59999999998,0.0,59586.17,0.0,0.0,0.0,0.0,275821.76999999996,0.0,0.0,0.0,15915048.04,0.0,0.0,0.0,-1110632.84,0.0,275821.76999999996,15915048.04,-1110632.84,-17025680.88,17301502.65
2,ARB00005_USD,0.0,0.0,216235.59999999998,0.0,59586.17,0.0,0.0,0.0,0.0,275821.76999999996,0.0,0.0,0.0,-1110026.14,0.0,0.0,0.0,15806315.05,0.0,275821.76999999996,-1110026.14,15806315.05,16916341.19,-16640519.420000002
3,ARB00005_USD,0.0,0.0,216235.59999999998,0.0,59586.17,0.0,0.0,0.0,0.0,275821.76999999996,0.0,0.0,0.0,-1110026.14,0.0,0.0,0.0,-1110632.84,0.0,275821.76999999996,-1110026.14,-1110632.84,-606.7000000001863,276428.47000000015
4,ARB00020_USD,14819.760000000002,0.0,-1119.6,0.0,-1460.66,0.0,0.0,0.0,0.0,-2580.26,-20493.48,0.0,0.0,-101800.44,-15687.58,0.0,0.0,-84755.04,4805.9,17045.4,-101800.44,-84755.04,17045.40000000001,-7.275957614183426e-12
5,ARB00054_USD,0.0,12192.5,-2672.1,0.0,-6413.04,0.0,0.0,0.0,0.0,-9085.14,0.0,-137407.5,129382.5,23696.64,0.0,-152295.0,141140.0,23674.0,-3130.0,-22.639999999999418,23696.64,23674.0,-22.639999999999418,0.0
6,ARB00055_USD,-5617.5,937.5,-126.0,0.0,-159.9,0.0,0.0,0.0,0.0,-285.9,-8929.0,-110000.0,120000.0,-1352.15,-236.35,-54062.5,56250.0,-5437.9,880.1499999999942,-4085.7500000000055,-1352.15,-5437.9,-4085.7499999999995,-5.9117155615240335e-12
7,ARB00068_USD,-119210.0,-23810.0,-1777.95,0.0,-4199.63,0.0,0.0,0.0,0.0,-5977.58,-105715.0,-60080.0,68015.0,-56884.9,0.0,0.0,281.25,-107821.23,98061.25,-50936.330000000016,-56884.9,-107821.23,-50936.329999999994,-2.1827872842550278e-11
8,ARB00090_USD,-10767.5,0.0,-371.55,0.0,-779.1899999999999,0.0,0.0,0.0,0.0,-1150.74,-4653.0,0.0,11675.0,-3286.46,1425.0,0.0,4100.0,-16701.7,-1497.0,-13415.24,-3286.46,-16701.7,-13415.240000000002,1.8189894035458565e-12
9,ARB00110_USD,-2940.0,0.0,-226.5,0.0,-792.5,0.0,0.0,0.0,0.0,-1019.0,300.0,0.0,0.0,1911.62,-550.0,0.0,0.0,-2897.38,-850.0,-4809.0,1911.62,-2897.38,-4809.0,0.0
