,DONOTIMPORT,JOURNAL,DATE,REVERSEDATE,DESCRIPTION,REFERENCE_NO,SOURCEENTITY,LINE_NO,ACCT_NO,LOCATION_ID,DEPT_ID,GLENTRY_CLASSID,GLENTRY_PROJECTID,DOCUMENT,MEMO,DEBIT,CREDIT,CURRENCY,EXCH_RATE_DATE,EXCH_RATE_TYPE_ID,EXCHANGE_RATE,GLENTRY_CUSTOMERID,GLENTRY_VENDORID,GLENTRY_EMPLOYEEID,GLENTRY_ITEMID,ALLOCATION_ID
862,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,303P,D23300,ARB03110_USD,,,,41977.5,,,,,,C00311,,,,
863,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,303P,D23300,ARB03112_USD,,,,,18887.3,,,,,C00310,,,,
864,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,303P,D23300,ARB03113_USD,,,,8003.690000000001,,,,,,C03113,,,,
865,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,303P,D23300,ARB03115_USD,,,,0.0,,,,,,CX3115,,,,
866,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,303P,D23020,ARB03116_USD,,,,5631.0,,,,,,C02129,,,,
867,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,303P,D23300,ARB03122_USD,,,,,10918.5,,,,,C03122,,,,
868,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,303P,D23300,ARB03125_USD,,,,18397.5,,,,,,CX3125,,,,
869,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,303P,D23300,ARB03133_USD,,,,,40777.399999999965,,,,,C03133,,,,
870,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,303P,D23300,ARB03134_USD,,,,,1907.5,,,,,C03134,,,,
871,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,303P,D23300,ARB03136_USD,,,,,730.0,,,,,CX3136,,,,
872,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,303P,D23300,ARB03139_USD,,,,169612.5,,,,,,C00311,,,,
873,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,303P,D23300,ARB03141_USD,,,,15881.960000000001,,,,,,C03141,,,,
874,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,303P,D23300,ARB03142_USD,,,,7580.200000000004,,,,,,C00310,,,,
875,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,303P,D23300,ARB03143_USD,,,,6737.899999999994,,,,,,C00310,,,,
876,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,303P,D23300,ARB03144_USD,,,,,3769.0,,,,,CX3144,,,,
877,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,303P,D23300,ARB03146_USD,,,,,4927.5,,,,,CX3136,,,,
878,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,303P,D23090,ARB03154_USD,,,,,395.86,,,,,C03154,,,,
879,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,303P,D23100,ARB03156_USD,,,,,5495.3099999999995,,,,,C03156,,,,
880,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,303P,D23100,ARB03157_USD,,,,,50.580000000001746,,,,,C03157,,,,
881,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,303P,D23100,ARB03159_USD,,,,,2209.189999999995,,,,,C03159,,,,
882,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,303P,D23010,ARB03168_USD,,,,3833.5,,,,,,C03168,,,,
883,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,303P,D23100,ARB03174_USD,,,,,2681.829999999998,,,,,C03174,,,,
884,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,303P,D23100,ARB03175_USD,,,,,1347.8100000000013,,,,,C03175,,,,
885,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,303P,D23100,ARB03176_USD,,,,,2238.24000000002,,,,,C03176,,,,
886,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,303P,D23100,ARB03185_USD,,,,,1487.5,,,,,C03185,,,,
887,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,303P,D23300,ARB03192_USD,,,,,664.5,,,,,C03163,,,,
888,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D21300,ARB03360_EUR,,,,,181475.0,,,,,C03060,,,,
889,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D21300,ARB03360_GBP,,,,,128487.5,,,,,C03060,,,,
890,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D21300,ARB03362_EUR,,,,10925.0,,,,,,C03062,,,,
