,Class_ID,PL_TOTAL,OPT_PREMIUM,COMMISSION,CLEARING_FEE,EXCHANG_EFE,BROKERAGE_FEE,GIVEUP_FEE,FLR_FEE,WIR_FEE,Total_Fees
0,ARB00005_USD,0.0,0.0,216235.59999999998,0.0,59586.17,0.0,0.0,0.0,0.0,275821.76999999996
1,ARB00020_USD,14819.760000000002,0.0,-1119.6,0.0,-1460.66,0.0,0.0,0.0,0.0,-2580.26
2,ARB00054_USD,0.0,12192.5,-2672.1,0.0,-6413.04,0.0,0.0,0.0,0.0,-9085.14
3,ARB00055_USD,-5617.5,937.5,-126.0,0.0,-159.9,0.0,0.0,0.0,0.0,-285.9
4,ARB00068_USD,-119210.0,-23810.0,-1777.95,0.0,-4199.63,0.0,0.0,0.0,0.0,-5977.58
5,ARB00090_USD,-10767.5,0.0,-371.55,0.0,-779.1899999999999,0.0,0.0,0.0,0.0,-1150.74
6,ARB00110_USD,-2940.0,0.0,-226.5,0.0,-792.5,0.0,0.0,0.0,0.0,-1019.0
7,ARB00112_USD,10087.5,0.0,-330.0,0.0,-418.0,0.0,0.0,0.0,0.0,-748.0
8,ARB00113_USD,-1520.93,2007.5,-208.35000000000002,0.0,-500.04,0.0,0.0,0.0,0.0,-708.3900000000001
9,ARB00122_USD,-9567.5,0.0,-53.550000000000004,0.0,-54.22,0.0,0.0,0.0,0.0,-107.77000000000001
10,ARB00123_USD,-56392.5,-97405.0,-87.9,0.0,-246.64,0.0,0.0,0.0,0.0,-334.53999999999996
11,ARB00124_USD,-5541.0,0.0,-161.55,0.0,-608.47,0.0,0.0,0.0,0.0,-770.02
12,ARB00126_USD,1447.5,0.0,-13.05,0.0,-48.36,0.0,0.0,0.0,0.0,-61.41
13,ARB00132_USD,-33517.5,16870.0,-1042.5,0.0,-2528.92,0.0,0.0,0.0,0.0,-3571.42
14,ARB00135_USD,-772.5,0.0,-29.4,0.0,-99.96,0.0,0.0,0.0,0.0,-129.35999999999999
15,ARB00143_USD,1355.0,0.0,-67.05,0.0,-253.0,0.0,0.0,0.0,0.0,-320.05
16,ARB00146_USD,-12880.0,0.0,-31.5,0.0,-107.1,0.0,0.0,0.0,0.0,-138.6
17,ARB00149_USD,-6092.7,0.0,-77.1,0.0,-374.72,0.0,0.0,0.0,0.0,-451.82000000000005
18,ARB00156_USD,173702.3,69221.25,-3698.25,0.0,-9622.84,0.0,0.0,0.0,0.0,-13321.09
19,ARB00160_USD,135.0,0.0,-134.25,0.0,-558.72,0.0,0.0,0.0,0.0,-692.97
20,ARB00161_USD,-13779.5,0.0,-622.35,0.0,-1619.22,0.0,0.0,0.0,0.0,-2241.57
21,ARB00169_USD,49739.11,0.0,-1777.95,0.0,-7408.26,0.0,0.0,0.0,0.0,-9186.210000000001
22,ARB00186_USD,20300.0,0.0,-300.0,0.0,-1247.48,0.0,0.0,0.0,0.0,-1547.48
23,ARB00188_USD,-8184.5,0.0,-33.45,0.0,-110.6,0.0,0.0,0.0,0.0,-144.05
24,ARB00193_USD,129911.5,3950.0,-1519.65,0.0,-5294.42,0.0,0.0,0.0,0.0,-6814.07
25,ARB00194_USD,268027.4,0.0,-1940.85,0.0,-7170.599999999999,0.0,0.0,0.0,0.0,-9111.449999999999
26,ARB00214_USD,1195.49,0.0,-90.9,0.0,-297.42,0.0,0.0,0.0,0.0,-388.32000000000005
27,ARB00215_USD,5607.68,0.0,-1045.2,0.0,-3074.8,0.0,0.0,0.0,0.0,-4120.0
28,ARB00220_USD,3945.81,0.0,-236.4,0.0,-1021.4,0.0,0.0,0.0,0.0,-1257.8
29,ARB00257_USD,11948.01,0.0,-1130.1,0.0,-5692.4,0.0,0.0,0.0,0.0,-6822.5
30,ARB00267_USD,26243.760000000002,0.0,-123.9,0.0,-619.48,0.0,0.0,0.0,0.0,-743.38
31,ARB00300_EUR,0.0,0.0,146948.22,0.0,0.0,0.0,0.0,0.0,0.0,146948.22
32,ARB00300_USD,0.0,0.0,64989.49,0.0,509257.41,0.0,0.0,0.0,0.0,574246.9
33,ARB00306_USD,0.0,0.0,0.0,0.0,-4650.0,0.0,0.0,0.0,0.0,-4650.0
34,ARB00311_USD,4157.74,0.0,12.0,0.0,177.04,0.0,0.0,0.0,0.0,189.04
35,ARB00320_EUR,16050.0,0.0,-707.4000000000001,0.0,0.0,0.0,0.0,0.0,0.0,-707.4000000000001
36,ARB00320_GBP,28500.0,0.0,0.0,-1464.0,-451.68,0.0,0.0,0.0,0.0,-1915.68
37,ARB00354_USD,4180.0,0.0,-220.8,-36.77,-1678.08,0.0,0.0,0.0,0.0,-1935.6499999999999
38,ARB00355_EUR,-2562.5,0.0,-13.8,0.0,0.0,0.0,0.0,0.0,0.0,-13.8
39,ARB00355_GBP,200.0,0.0,0.0,-22.88,-8.0,0.0,0.0,0.0,0.0,-30.88
40,ARB00390_CAD,-1450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,ARB00390_USD,-40435.0,0.0,-477.29999999999995,-1843.1999999999998,-953.66,0.0,0.0,0.0,0.0,-3274.16
42,ARB00410_EUR,0.0,0.0,-2.4,0.0,0.0,0.0,0.0,0.0,0.0,-2.4
43,ARB00410_GBP,-50.0,0.0,0.0,-8.8,-3.6799999999999997,0.0,0.0,0.0,0.0,-12.48
44,ARB00412_EUR,981.25,0.0,-43.2,0.0,0.0,0.0,0.0,0.0,0.0,-43.2
45,ARB00412_GBP,-2447.5,0.0,0.0,-115.80000000000001,-31.560000000000002,0.0,0.0,0.0,0.0,-147.36
46,ARB00412_USD,740.0,0.0,-76.8,-12.81,-583.68,0.0,0.0,0.0,0.0,-673.29
47,ARB00422_EUR,0.0,0.0,-4.8,0.0,0.0,0.0,0.0,0.0,0.0,-4.8
48,ARB00422_GBP,-150.0,0.0,0.0,-17.6,-7.38,0.0,0.0,0.0,0.0,-24.98
49,ARB00422_USD,17817.9,0.0,-729.45,-81.6,-9964.78,0.0,0.0,0.0,0.0,-10775.83
50,ARB00423_CAD,-2368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,ARB00423_EUR,0.0,0.0,-6.6,0.0,0.0,0.0,0.0,0.0,0.0,-6.6
52,ARB00423_GBP,0.0,0.0,0.0,-24.2,-10.12,0.0,0.0,0.0,0.0,-34.32
53,ARB00423_USD,145897.4,623.25,-2358.75,-680.29,-30722.089999999997,0.0,0.0,0.0,0.0,-33761.13
54,ARB00424_CAD,4432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,ARB00424_EUR,0.0,0.0,-84.45,0.0,0.0,0.0,0.0,0.0,0.0,-84.45
56,ARB00424_GBP,-21200.0,0.0,0.0,-309.65,-132.56,0.0,0.0,0.0,0.0,-442.21
57,ARB00424_USD,-114113.2,26396.0,-2072.85,-2466.6,-21411.96,0.0,0.0,0.0,0.0,-25951.41
58,ARB00425_EUR,0.0,0.0,-101.1,0.0,0.0,0.0,0.0,0.0,0.0,-101.1
59,ARB00425_GBP,16340.0,0.0,0.0,-370.70000000000005,-160.64000000000001,0.0,0.0,0.0,0.0,-531.34
60,ARB00425_USD,49257.2,0.0,-2915.1,-741.6,-38561.880000000005,0.0,0.0,0.0,0.0,-42218.58
61,ARB00426_EUR,0.0,0.0,-31.05,0.0,0.0,0.0,0.0,0.0,0.0,-31.05
62,ARB00426_GBP,10920.0,0.0,0.0,-113.85,-49.22,0.0,0.0,0.0,0.0,-163.07
63,ARB00426_USD,71021.0,0.0,-910.35,-298.67999999999995,-11838.42,0.0,0.0,0.0,0.0,-13047.45
64,ARB00432_EUR,3612.5,0.0,-406.8,0.0,0.0,0.0,0.0,0.0,0.0,-406.8
65,ARB00432_GBP,3600.0,0.0,0.0,-811.2,-255.36,0.0,0.0,0.0,0.0,-1066.56
66,ARB00432_USD,250.0,0.0,-6.6,-1.11,-50.16,0.0,0.0,0.0,0.0,-57.87
67,ARB00435_EUR,0.0,0.0,-3.9,0.0,0.0,0.0,0.0,0.0,0.0,-3.9
68,ARB00435_GBP,0.0,0.0,0.0,-14.3,-5.98,0.0,0.0,0.0,0.0,-20.28
69,ARB00435_USD,26840.6,0.0,-1743.75,0.0,-24412.5,0.0,0.0,0.0,0.0,-26156.25
70,ARB00442_USD,0.0,0.0,-30.0,0.0,-420.0,0.0,0.0,0.0,0.0,-450.0
71,ARB00443_USD,3136.0,0.0,-30.0,0.0,-420.0,0.0,0.0,0.0,0.0,-450.0
72,ARB00446_EUR,0.0,0.0,-68.1,0.0,0.0,0.0,0.0,0.0,0.0,-68.1
73,ARB00446_GBP,-11290.0,0.0,0.0,-249.7,-106.42,0.0,0.0,0.0,0.0,-356.12
74,ARB00446_USD,58309.4,0.0,-659.55,-171.6,-8713.18,0.0,0.0,0.0,0.0,-9544.33
75,ARB00449_EUR,0.0,0.0,-13.8,0.0,0.0,0.0,0.0,0.0,0.0,-13.8
76,ARB00449_GBP,280.0,0.0,0.0,-50.6,-21.48,0.0,0.0,0.0,0.0,-72.08
77,ARB00449_USD,63637.0,0.0,-415.34999999999997,-1467.6,-1363.1799999999998,0.0,0.0,0.0,0.0,-3246.1299999999997
78,ARB00456_EUR,0.0,0.0,-71.1,0.0,0.0,0.0,0.0,0.0,0.0,-71.1
79,ARB00456_GBP,0.0,0.0,0.0,-137.36,-44.0,0.0,0.0,0.0,0.0,-181.36
80,ARB00456_USD,28290.0,0.0,-405.9,-1137.17,-1485.24,0.0,0.0,0.0,0.0,-3028.3100000000004
81,ARB00460_CAD,-2296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,ARB00460_USD,4560.0,0.0,-269.4,0.0,-2436.6,0.0,0.0,0.0,0.0,-2706.0
83,ARB00461_CAD,-344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,ARB00461_USD,0.0,0.0,-231.0,0.0,-1428.48,0.0,0.0,0.0,-29.0,-1688.48
85,ARB00469_CAD,14828.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,ARB00469_EUR,0.0,0.0,-35.55,0.0,0.0,0.0,0.0,0.0,0.0,-35.55
87,ARB00469_GBP,-8700.0,0.0,0.0,-130.35,-55.519999999999996,0.0,0.0,0.0,0.0,-185.87
88,ARB00469_USD,21849.5,0.0,-1464.45,-6.0,-20141.6,0.0,0.0,0.0,0.0,-21612.05
89,ARB00486_EUR,0.0,0.0,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,-1.5
90,ARB00486_GBP,0.0,0.0,0.0,-5.5,-2.3,0.0,0.0,0.0,0.0,-7.8
91,ARB00486_USD,-14452.5,0.0,-87.9,-322.8,-251.44,0.0,0.0,0.0,0.0,-662.1400000000001
92,ARB00488_USD,-1115.0,0.0,-15.599999999999998,-62.39999999999999,-29.120000000000005,0.0,0.0,0.0,0.0,-107.11999999999999
93,ARB00493_CAD,-10414.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,ARB00493_EUR,0.0,0.0,-42.15,0.0,0.0,0.0,0.0,0.0,0.0,-42.15
95,ARB00493_GBP,0.0,0.0,0.0,-154.55,-64.63,0.0,0.0,0.0,0.0,-219.18
96,ARB00493_USD,-57180.8,0.0,-444.0,-249.6,-4791.38,0.0,0.0,0.0,0.0,-5484.9800000000005
97,ARB00494_CAD,5576.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,ARB00494_EUR,0.0,0.0,-25.65,0.0,0.0,0.0,0.0,0.0,0.0,-25.65
99,ARB00494_GBP,15630.0,0.0,0.0,-94.05,-40.510000000000005,0.0,0.0,0.0,0.0,-134.56
100,ARB00494_USD,93075.0,0.0,-2085.75,-5753.91,-11634.189999999999,0.0,0.0,0.0,0.0,-19473.85
101,ARB00503_CAD,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,ARB00503_EUR,0.0,0.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0
103,ARB00503_GBP,0.0,0.0,0.0,-22.0,-9.2,0.0,0.0,0.0,0.0,-31.2
104,ARB00503_USD,13782.35,0.0,-107.1,-256.8,-702.94,0.0,0.0,0.0,0.0,-1066.8400000000001
105,ARB00514_EUR,0.0,0.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.0
106,ARB00514_GBP,112.0,0.0,0.0,-54.4,-21.9,0.0,0.0,0.0,0.0,-76.3
107,ARB00514_USD,0.0,0.0,-6.6,-14.4,-6.72,0.0,0.0,0.0,0.0,-27.72
108,ARB00520_USD,-50.0,0.0,-0.6,0.0,-8.4,0.0,0.0,0.0,0.0,-9.0
109,ARB00567_EUR,0.0,0.0,-53.699999999999996,0.0,0.0,0.0,0.0,0.0,0.0,-53.699999999999996
110,ARB00567_GBP,910.0,0.0,0.0,-196.90000000000003,-84.7,0.0,0.0,0.0,0.0,-281.6
111,ARB00567_USD,-2400.1000000000004,0.0,-160.8,-501.6,-729.6800000000001,0.0,0.0,0.0,0.0,-1392.0800000000002
112,ARB00700_USD,0.0,0.0,1720.29,0.0,0.0,0.0,0.0,0.0,0.0,1720.29
113,ARB00754_USD,-64405.41000001319,0.0,-1290.45,0.0,-3741.8900000000003,0.0,0.0,0.0,0.0,-5032.34
114,ARB00765_USD,13484.24,0.0,-21.0,0.0,-61.6,0.0,0.0,0.0,0.0,-82.6
115,ARB01002_USD,44796.66,0.0,-166.2,0.0,-153.02,0.0,0.0,0.0,0.0,-319.22
116,ARB01057_MXN,140680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,ARB01057_USD,-299900.9500000002,0.0,-290.85,0.0,-367.61,0.0,-142.5,0.0,0.0,-800.96
118,ARB01063_USD,860.6800000000003,0.0,-4105.35,0.0,-4959.77,0.0,0.0,0.0,0.0,-9065.12
119,ARB01064_USD,-10460.46,625.0,-1159.8,0.0,-1163.08,0.0,0.0,0.0,0.0,-2322.88
120,ARB01065_USD,14268.09,0.0,-401.4,0.0,-368.28,0.0,0.0,0.0,0.0,-769.68
121,ARB01066_USD,-673.3,0.0,-110.39999999999999,0.0,-326.28,0.0,0.0,0.0,0.0,-436.67999999999995
122,ARB01067_USD,1100.0,0.0,-3.0,0.0,-15.0,0.0,0.0,0.0,0.0,-18.0
123,ARB01071_USD,-154772.94,0.0,-855.6,0.0,-2162.7000000000003,0.0,0.0,0.0,0.0,-3018.3
124,ARB01073_JPY,585000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,ARB01073_USD,-3475.070000000001,0.0,-2206.8,0.0,-3368.8,0.0,0.0,0.0,0.0,-5575.6
126,ARB01076_USD,6336.810000000001,0.0,-4273.65,0.0,-4976.02,0.0,0.0,0.0,0.0,-9249.67
127,ARB01078_USD,26788.52,0.0,-1070.7,0.0,-2420.86,0.0,0.0,0.0,0.0,-3491.5600000000004
128,ARB01092_USD,47183.63000000268,0.0,-13767.9,0.0,-21735.58,0.0,0.0,-29.8,0.0,-35533.280000000006
129,ARB01100_USD,-2350.0,0.0,-22.799999999999997,0.0,-77.92,0.0,0.0,0.0,0.0,-100.72
130,ARB01117_USD,-775.0,0.0,-3.6,0.0,-13.44,0.0,0.0,0.0,0.0,-17.04
131,ARB01129_USD,-19020.0,0.0,-1.8,0.0,-6.12,0.0,0.0,0.0,0.0,-7.92
132,ARB01145_USD,-61718.62,0.0,-3472.8,0.0,-4760.68,0.0,0.0,0.0,0.0,-8233.48
133,ARB01157_USD,188.5,0.0,-486.75,0.0,-1817.2,0.0,0.0,0.0,0.0,-2303.95
134,ARB01158_USD,-78195.8,-4593.75,-9132.0,0.0,-22043.56,0.0,0.0,0.0,0.0,-31175.56
135,ARB01166_USD,-8712.0,0.0,-235.2,0.0,-960.96,0.0,0.0,0.0,0.0,-1196.16
136,ARB01172_USD,701.0,0.0,-603.0,0.0,-1382.42,0.0,0.0,0.0,0.0,-1985.42
137,ARB01176_USD,29692.5,0.0,-951.0,0.0,-3550.4,0.0,0.0,0.0,0.0,-4501.4
138,ARB01177_USD,0.0,-2331.25,-12.0,0.0,-24.8,0.0,0.0,0.0,0.0,-36.8
139,ARB01195_USD,-2610.0,0.0,-15.3,0.0,-52.02,0.0,0.0,0.0,0.0,-67.32000000000001
140,ARB01357_CHF,-4987.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,ARB01357_EUR,36495.85000002384,0.0,-10678.949999999999,-8740.8,-2185.2,0.0,0.0,0.0,0.0,-21604.95
142,ARB01357_GBP,332820.84999999404,0.0,0.0,-16880.43,-5677.43,0.0,0.0,0.0,0.0,-22557.86
143,ARB01357_USD,172350.0,0.0,-2435.85,0.0,-16230.0,0.0,0.0,0.0,0.0,-18665.85
144,ARB01400_EUR,0.0,0.0,-185.4,0.0,0.0,0.0,0.0,0.0,0.0,-185.4
145,ARB01400_GBP,0.0,0.0,0.0,-679.8,-284.28,0.0,0.0,0.0,0.0,-964.0799999999999
146,ARB01400_USD,14451.199999999997,0.0,-468.45,-365.40000000000003,-5449.92,0.0,0.0,0.0,0.0,-6283.77
147,ARB01417_EUR,0.0,0.0,-95.39999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-95.39999999999999
148,ARB01417_GBP,1060.0,0.0,0.0,-349.8,-149.2,0.0,0.0,0.0,0.0,-499.0
149,ARB01417_USD,-11595.1,0.0,-1851.3,-4306.8,-12854.24,0.0,0.0,0.0,0.0,-19012.34
150,ARB01445_EUR,-22900.0,0.0,-849.9,0.0,0.0,0.0,0.0,0.0,0.0,-849.9
151,ARB01445_GBP,14500.0,0.0,0.0,-1799.04,-548.4000000000001,0.0,0.0,0.0,0.0,-2347.44
152,ARB01457_CAD,5490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,ARB01457_USD,11640.0,0.0,-55.05,-81.0,-365.0,0.0,0.0,0.0,0.0,-501.05
154,ARB01458_CAD,27288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,ARB01458_USD,439085.0,0.0,-685.65,-1862.4,-3562.3199999999997,0.0,0.0,0.0,0.0,-6110.37
156,ARB01466_CAD,1924.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,ARB01466_USD,-390.0,0.0,-62.1,0.0,-521.9000000000001,0.0,0.0,0.0,0.0,-584.0000000000001
158,ARB01472_CAD,1220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,ARB01472_USD,70.0,0.0,-30.0,0.0,-380.0,0.0,0.0,0.0,0.0,-410.0
160,ARB01476_USD,-27697.4,0.0,-158.85,0.0,-2223.9,0.0,0.0,0.0,0.0,-2382.75
