,Class_ID,PL_TOTAL,OPT_PREMIUM,COMMISSION,CLEARING_FEE,EXCHANG_EFE,BROKERAGE_FEE,GIVEUP_FEE,FLR_FEE,WIR_FEE,Total_Fees
0,ARB00005_USD,0.0,0.0,398570.79,0.0,87001.23,0.0,0.0,0.0,0.0,485572.01999999996
1,ARB00017_USD,817.5,0.0,-2.1,0.0,-28.5,0.0,0.0,0.0,0.0,-30.6
2,ARB00020_USD,-157390.28,0.0,-4235.7,0.0,-5494.91,0.0,0.0,0.0,0.0,-9730.61
3,ARB00033_USD,-11455.370000001043,0.0,-2862.45,0.0,-4023.3700000000003,0.0,0.0,0.0,0.0,-6885.82
4,ARB00054_USD,0.0,56370.0,-4951.05,0.0,-11882.519999999999,0.0,0.0,0.0,0.0,-16833.57
5,ARB00055_USD,-38230.0,-4375.0,-818.1,0.0,-1248.1,0.0,0.0,0.0,0.0,-2066.2
6,ARB00068_USD,57742.5,59775.0,-2191.5,0.0,-5262.68,0.0,0.0,0.0,0.0,-7454.18
7,ARB00090_USD,6647.1,-31750.0,-1601.6999999999998,0.0,-3494.0,0.0,0.0,0.0,0.0,-5095.7
8,ARB00110_USD,-5132.5,0.0,-203.4,0.0,-708.4599999999999,0.0,0.0,0.0,0.0,-911.8599999999999
9,ARB00112_USD,-52687.5,0.0,-1241.4,0.0,-1572.44,0.0,0.0,0.0,0.0,-2813.84
10,ARB00113_USD,0.0,-562.5,-206.1,0.0,-356.24,0.0,0.0,0.0,0.0,-562.34
11,ARB00122_USD,4484.0,0.0,-19.5,0.0,-17.12,0.0,0.0,0.0,0.0,-36.620000000000005
12,ARB00123_USD,95649.5,215662.5,-466.05,0.0,-905.86,0.0,0.0,0.0,0.0,-1371.91
13,ARB00124_USD,-145762.94,0.0,-471.0,0.0,-1677.85,0.0,0.0,0.0,0.0,-2148.85
14,ARB00126_USD,-12675.0,0.0,-107.55,0.0,-359.59000000000003,0.0,0.0,0.0,0.0,-467.14000000000004
15,ARB00132_USD,587.5,3757.5,-187.65,0.0,-437.92,0.0,0.0,0.0,0.0,-625.57
16,ARB00135_USD,115.0,0.0,-2.4,0.0,-8.16,0.0,0.0,0.0,0.0,-10.56
17,ARB00143_USD,-35532.0,0.0,-128.25,0.0,-477.63,0.0,0.0,0.0,0.0,-605.88
18,ARB00146_USD,-733.0,0.0,-30.9,0.0,-109.86,0.0,0.0,0.0,0.0,-140.76
19,ARB00149_USD,-33118.6,0.0,-838.5,0.0,-3904.48,0.0,0.0,0.0,0.0,-4742.98
20,ARB00156_USD,-1207676.98,-29890.0,-5929.5,0.0,-13498.24,0.0,0.0,0.0,0.0,-19427.739999999998
21,ARB00159_USD,-837.5,0.0,-40.8,0.0,-51.68,0.0,0.0,0.0,0.0,-92.47999999999999
22,ARB00160_USD,8769.0,0.0,-537.0,0.0,-2099.0,0.0,0.0,0.0,0.0,-2636.0
23,ARB00161_USD,4139.25,0.0,-101.7,0.0,-319.89,0.0,0.0,0.0,0.0,-421.59
24,ARB00169_USD,-275932.49,0.0,-3566.55,0.0,-10059.169999999998,0.0,0.0,0.0,0.0,-13625.719999999998
25,ARB00186_USD,-133894.0,0.0,-618.3000000000001,0.0,-2933.94,0.0,0.0,0.0,0.0,-3552.2400000000002
26,ARB00188_USD,3611.0,0.0,-51.6,0.0,-244.14000000000001,0.0,0.0,0.0,0.0,-295.74
27,ARB00193_USD,-442986.5,790.0,-1600.5,0.0,-5764.0,0.0,0.0,0.0,0.0,-7364.5
28,ARB00194_USD,167920.2,0.0,-2553.15,0.0,-10526.27,0.0,0.0,0.0,0.0,-13079.42
29,ARB00201_USD,9327.119999999999,0.0,-53.1,0.0,-77.89,0.0,0.0,0.0,0.0,-130.99
30,ARB00203_USD,440.0,0.0,-61.5,0.0,-256.15,0.0,0.0,0.0,0.0,-317.65
31,ARB00214_USD,3711.78,0.0,-362.09999999999997,0.0,-1186.47,0.0,0.0,0.0,0.0,-1548.57
32,ARB00215_USD,27945.58,0.0,-3943.2,0.0,-16122.89,0.0,0.0,0.0,0.0,-20066.09
33,ARB00220_USD,20317.57,0.0,-1399.2,0.0,-4505.2300000000005,0.0,0.0,0.0,0.0,-5904.43
34,ARB00257_USD,50309.01,0.0,-6275.7,0.0,-23829.16,0.0,0.0,0.0,0.0,-30104.86
35,ARB00267_USD,-9135.349999999999,0.0,-225.9,0.0,-1007.5699999999999,0.0,0.0,0.0,0.0,-1233.47
36,ARB00300_EUR,0.0,0.0,283374.18,0.0,0.0,0.0,0.0,0.0,0.0,283374.18
37,ARB00300_USD,0.0,0.0,14880.09,0.0,483690.01,0.0,0.0,0.0,0.0,498570.10000000003
38,ARB00306_USD,0.0,0.0,0.0,0.0,-4650.0,0.0,0.0,0.0,0.0,-4650.0
39,ARB00320_CHF,5500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,ARB00320_EUR,12812.5,0.0,-4278.0,-97.92,-24.48,0.0,0.0,0.0,0.0,-4400.4
41,ARB00320_GBP,-15350.0,0.0,0.0,-8890.48,-2726.3199999999997,0.0,0.0,0.0,0.0,-11616.8
42,ARB00333_EUR,-7912.5,0.0,-1053.3,0.0,0.0,0.0,0.0,0.0,0.0,-1053.3
43,ARB00333_GBP,-2112.5,0.0,0.0,-1688.8799999999999,-602.4,0.0,0.0,0.0,0.0,-2291.2799999999997
44,ARB00354_USD,16250.0,0.0,-247.2,-41.15,-1878.72,0.0,0.0,0.0,0.0,-2167.07
45,ARB00355_EUR,-5975.0,0.0,-231.60000000000002,0.0,0.0,0.0,0.0,0.0,0.0,-231.60000000000002
46,ARB00355_GBP,-3262.5,0.0,0.0,-470.64,-146.64,0.0,0.0,0.0,0.0,-617.28
47,ARB00390_CAD,12718.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,ARB00390_USD,483250.0,0.0,-2535.75,-9082.5,-5734.44,0.0,0.0,0.0,0.0,-17352.69
49,ARB00410_EUR,0.0,0.0,-1.05,0.0,0.0,0.0,0.0,0.0,0.0,-1.05
50,ARB00410_GBP,585.0,0.0,0.0,-3.85,-1.61,0.0,0.0,0.0,0.0,-5.46
51,ARB00412_CHF,-3600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,ARB00412_EUR,-1631.25,0.0,-1650.6,-877.44,-219.36,0.0,0.0,0.0,0.0,-2747.4
53,ARB00412_GBP,-625.0,0.0,0.0,-2475.84,-825.6,0.0,0.0,0.0,0.0,-3301.44
54,ARB00412_USD,4480.0,0.0,-52.8,-8.78,-401.28,0.0,0.0,0.0,0.0,-462.85999999999996
55,ARB00422_EUR,0.0,0.0,-52.5,0.0,0.0,0.0,0.0,0.0,0.0,-52.5
56,ARB00422_GBP,840.0,0.0,0.0,-192.5,-80.69999999999999,0.0,0.0,0.0,0.0,-273.2
57,ARB00422_USD,25780.8,0.0,-1206.75,-898.8000000000001,-14168.14,0.0,0.0,0.0,0.0,-16273.689999999999
58,ARB00423_CAD,32934.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,ARB00423_EUR,0.0,0.0,-24.9,0.0,0.0,0.0,0.0,0.0,0.0,-24.9
60,ARB00423_GBP,-8440.0,0.0,0.0,-91.3,-38.94,0.0,0.0,0.0,0.0,-130.24
61,ARB00423_USD,185541.2,224.0,-3592.95,-2020.8200000000002,-43895.12,0.0,0.0,0.0,0.0,-49508.89
62,ARB00424_CAD,46306.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,ARB00424_EUR,0.0,0.0,-303.75,0.0,0.0,0.0,0.0,0.0,0.0,-303.75
