,Class_ID,PL_TOTAL,OPT_PREMIUM,COMMISSION,CLEARING_FEE,EXCHANG_EFE,BROKERAGE_FEE,GIVEUP_FEE,FLR_FEE,WIR_FEE,Total_Fees
53,ARB00426_EUR,0.0,0.0,-9.15,0.0,0.0,0.0,0.0,0.0,0.0,-9.15
54,ARB00426_GBP,2860.0,0.0,0.0,-33.55,-14.4,0.0,0.0,0.0,0.0,-47.949999999999996
55,ARB00426_USD,5949.200000000001,0.0,-250.64999999999998,-5.9399999999999995,-3490.8399999999997,0.0,0.0,0.0,0.0,-3747.43
56,ARB00432_EUR,0.0,0.0,-30.0,0.0,0.0,0.0,0.0,0.0,0.0,-30.0
57,ARB00432_GBP,1125.0,0.0,0.0,-96.0,-24.0,0.0,0.0,0.0,0.0,-120.0
58,ARB00432_USD,1370.0,0.0,-28.8,-4.8,-218.88,0.0,0.0,0.0,0.0,-252.48
59,ARB00435_EUR,0.0,0.0,-4.65,0.0,0.0,0.0,0.0,0.0,0.0,-4.65
60,ARB00435_GBP,0.0,0.0,0.0,-17.05,-7.13,0.0,0.0,0.0,0.0,-24.18
61,ARB00435_USD,30205.2,0.0,-643.95,0.0,-9015.3,0.0,0.0,0.0,0.0,-9659.25
62,ARB00443_USD,179.2,0.0,-3.0,0.0,-42.0,0.0,0.0,0.0,0.0,-45.0
63,ARB00446_EUR,0.0,0.0,-14.1,0.0,0.0,0.0,0.0,0.0,0.0,-14.1
64,ARB00446_GBP,-7180.0,0.0,0.0,-51.7,-22.36,0.0,0.0,0.0,0.0,-74.06
65,ARB00446_USD,-171.19999999999982,0.0,-366.3,0.0,-5128.2,0.0,0.0,0.0,0.0,-5494.5
66,ARB00449_EUR,0.0,0.0,-4.8,0.0,0.0,0.0,0.0,0.0,0.0,-4.8
67,ARB00449_GBP,-400.0,0.0,0.0,-17.6,-7.68,0.0,0.0,0.0,0.0,-25.28
68,ARB00449_USD,33370.0,0.0,-97.2,-357.6,-276.08,0.0,0.0,0.0,0.0,-730.88
69,ARB00456_EUR,0.0,0.0,-4.5,0.0,0.0,0.0,0.0,0.0,0.0,-4.5
70,ARB00456_GBP,0.0,0.0,0.0,-14.4,-3.6,0.0,0.0,0.0,0.0,-18.0
71,ARB00456_USD,17810.0,0.0,-129.6,-180.31,-747.6,0.0,0.0,0.0,0.0,-1057.51
72,ARB00460_CAD,-7266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,ARB00460_USD,0.0,0.0,-261.6,0.0,-1482.4,0.0,0.0,0.0,0.0,-1744.0
74,ARB00461_CAD,-1058.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,ARB00461_USD,0.0,0.0,-58.2,0.0,-329.8,0.0,0.0,0.0,0.0,-388.0
76,ARB00469_CAD,-2814.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,ARB00469_EUR,0.0,0.0,-67.5,0.0,0.0,0.0,0.0,0.0,0.0,-67.5
78,ARB00469_GBP,1450.0,0.0,0.0,-247.5,-105.5,0.0,0.0,0.0,0.0,-353.0
79,ARB00469_USD,3593.6,0.0,-581.85,0.0,-8049.650000000001,0.0,0.0,0.0,0.0,-8631.5
80,ARB00486_USD,5375.0,0.0,-3.0,-12.0,-5.6,0.0,0.0,0.0,0.0,-20.6
81,ARB00488_USD,110.0,0.0,-2.4,-9.6,-4.48,0.0,0.0,0.0,0.0,-16.48
82,ARB00493_CAD,21598.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,ARB00493_EUR,0.0,0.0,-9.6,0.0,0.0,0.0,0.0,0.0,0.0,-9.6
84,ARB00493_GBP,-5180.0,0.0,0.0,-35.2,-15.2,0.0,0.0,0.0,0.0,-50.400000000000006
85,ARB00493_USD,18936.6,0.0,-177.75,-9.6,-2109.38,0.0,0.0,0.0,0.0,-2296.73
86,ARB00494_CAD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,ARB00494_EUR,0.0,0.0,-17.55,0.0,0.0,0.0,0.0,0.0,0.0,-17.55
